predictor,coefficient
intercept,67.2151371807001
Hours_Studied,1.7518175450874405
Attendance,2.286444706494723
Sleep_Hours,-0.015032481624012346
Previous_Scores,0.7025279892080257
Tutoring_Sessions,0.6243263447436767
Physical_Activity,0.19408029734791332
Parental_Involvement_Low,-0.7980951903349953
Parental_Involvement_Medium,-0.5294772518739377
Access_to_Resources_Low,-0.8282779406303231
Access_to_Resources_Medium,-0.5090152494136185
Extracurricular_Activities_Yes,0.28412383946791553
Motivation_Level_Low,-0.4670446479775549
Motivation_Level_Medium,-0.2650669620002731
Internet_Access_Yes,0.25293254207254223
Family_Income_Low,-0.5334680133709381
Family_Income_Medium,-0.3017130761814017
Teacher_Quality_Low,-0.2894956285854275
Teacher_Quality_Medium,-0.25461570376976217
School_Type_Public,0.000747207648408526
Peer_Influence_Neutral,0.26273642027506067
Peer_Influence_Positive,0.50446180310099
Learning_Disabilities_Yes,-0.2661841080566057
Parental_Education_Level_High School,-0.22157833598016913
Parental_Education_Level_Postgraduate,0.2072575466928718
Distance_from_Home_Moderate,0.11720895829828867
Distance_from_Home_Near,0.39583778057859165
Gender_Male,-0.009432367757950167
